"Panel Type","Plus Panel","Serial #","Shooting FW","WL Control FW","Logging FW","GUI SW","Surface Check FW","Received Date","XC Base","Panel Status","Unit#","Sales Order#","Date Updated","Tracking Info","Comments","Verified","RMA","Spare","Customer District","Operating Company","Customer","Updated By","Activity","Field View History of Panel ","Viewed Digital Shooting Panel","Viewed Surface Tester","Related Panel Records","Changes Summary",
"Digital Shooting Panel","","2601139-v2.6.1","1.26","","","","","5/21/2026","Midland","Leased","Na","","5/21/2026","","","Y","","Y","LES-Platteville","Hunt Oil","Liberty Energy Inc.","Eric Williams","","","","","","",
"Digital Shooting Panel","","SH230725-2v3","1.2","","","","","3/19/2024","Midland","Leased","1223","","5/21/2026","","In spare truck on Circle S STX","Y","","N","TIER-Midland","Circle-S Energy, LLC","Tier 1 Completions Solutions, Inc.","Eric Williams","","","1278 , 1280 , 1336 , 1339 , 1340 , 1350 , 1363 , 1510 , 1513","","q87S_APNyT4OuTHDkFEbSd , BH3_g1TcaE4DUv-hIwpWRd , Eu6n7sNab44aa6mp2uCn9b , v1pQdR_XbK4IM_uevsx9k7 , khayR1NJ564AMMCy1p1SS0 , 5t07cOK_XV4H2-uK_xeZ42 , CznM2YrC894B60qlEVT4-9 , VX4BsD8BeK42QWn_FirGXb","",
"Digital Shooting Panel","","SH230723-2v3","1.2","","","","","2/19/2024","Midland","Leased","2112","","5/21/2026","","","Y","","N","TIER-Midland","Circle-S Energy, LLC","Tier 1 Completions Solutions, Inc.","Eric Williams","","","887 , 1354 , 1357 , 1736","","VVkIwWYi8x45iaLqo-_bHb , -KxS0qu4H14aiSEGJmPh10 , YtBogUXrh_4Re--ymuehf2 , JrCMWOd5yk4iejGM2RErf5","",
"Digital Shooting Panel","","2511111-V2.6","1.20","","","","","5/18/2026","Midland","Leased","2629","","5/19/2026","","","Y","","N","HWS-Victoria","Bandera","Horizontal Wireline Services","Eric Williams","","","1728 , 1735 , 1739","","KE8nQSXVuu4FA_BkAwjM5e","",
"Digital Shooting Panel","","SH240547-2v4","1.2","","","","","8/12/2024","Midland","Leased","2115","","5/19/2026","","","Y","","N","TIER-Oklahoma","Validus Energy","Tier 1 Completions Solutions, Inc.","Larry Beaver","","","1697 , 1730 , 1737 , 1748","","NvKgH90kjN4ayyq8fLLIe0 , G4LACI0sUb4maqEezcjYV9 , 3AjcyhB8Gl4xe1BSQw-tKd , 3lciCfe1Bu4C6mbEhOK2h8 , 9BT5KU7cxK4aaoSnPkxnR3 , Brtxs9A6N94XuZrIvxXLh0","",
"Digital Shooting Panel","","SH240751-2v4","1.2","","","","","1/19/2026","Midland","Leased","2117","","5/17/2026","","","Y","","N","TIER-Oklahoma","Upland Energy Inc","Tier 1 Completions Solutions, Inc.","Larry Beaver","","","1159 , 1160 , 1725 , 1738","","m61zO5YO_k46qmyTl7vlNe , Dw3SkDsJcd4bYrhRvMCana , RGa-MbEEky4eUZp3KLytl4 , hxFbkRNxmg4wy52PyI-r26 , MItqd2uwD-45e9X6CwXuHa","",
"Digital Shooting Panel","","SH240540-2v3","1.2","","","","","6/25/2024","Denver","Leased","2011","","5/17/2026","","","Y","","N","TIER-Oklahoma","Sandridge Energy","Tier 1 Completions Solutions, Inc.","Larry Beaver","","","1305 , 1314 , 1378 , 1550 , 1689 , 1726 , 1749","","Gm-3ZeLPmN4IUT9s4mvdW4 , Qa7JEXPrac45mB18f0-FE8 , qjTTo0kzG24bAx8MVOyZE7 , pO_RVru5e_4LqhGpwA55q7","",
"Digital Shooting Panel","","SH2510109-V2.5+","7.2","","","","","12/30/2025","Midland","Leased","003","","5/5/2026","","","Y","","N","CCS-Midland","Riley Exploration Permian, Inc.","Caliber Completions Services, LLC","Mike Grober","","","1360 , 1376 , 1393 , 1456 , 1712 , 1721","","N0CGM1IRC24za_5QbVH8x3 , 3kcOKOC4414Lmos_KKv2Na , vkA3Ggd9ul4_QVp1dhXaI9","",
"Digital Shooting Panel","","SH250790 v2.5","1.20","","","","","9/19/2025","Midland","Leased","8093","","5/4/2026","","","Y","","N","TWG-Grand Junction","QB Energy","The Wireline Group","Robert Grissom","","","1714","","avGt7cpnwY42YZo7fLNsM3 , 7A4dEkrsv64Li13smUgvOe , rRbfdpstfW4vAEUIkVlh02","",
"Digital Shooting Panel","","SH250589-V2.4","1.2","","","","","8/8/2025","Williston","Leased","8050","","5/4/2026","","","Y","","N","TWG-Grand Junction","Not Specified","The Wireline Group","Robert Grissom","","","","","4jlDUqLTq14BElTjfHahD4 , wTllq7UKCL4r269jrtEjAa","",
